iter	Passed	Remaining
0	0	62
1	1	56
2	1	53
3	2	48
4	2	47
5	2	46
6	3	46
7	4	46
8	4	45
9	5	45
10	5	45
11	6	44
12	6	44
13	7	43
14	7	43
15	8	43
16	8	42
17	9	42
18	9	42
19	10	41
20	11	41
21	11	41
22	12	41
23	13	41
24	13	41
25	14	41
26	14	40
27	15	39
28	15	39
29	16	38
30	17	38
31	17	37
32	18	37
33	18	36
34	19	36
35	19	35
36	20	34
37	21	34
38	21	33
39	22	33
40	22	32
41	22	31
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	26	28
49	27	27
50	28	27
51	28	26
52	29	26
53	30	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	36	19
65	37	19
66	37	18
67	38	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
