iter	Passed	Remaining
0	141	141257
1	142	70897
2	142	47405
3	143	35646
4	143	28594
5	144	23889
6	144	20525
7	145	18010
8	145	16050
9	146	14485
10	146	13204
11	147	12140
12	147	11234
13	148	10459
14	148	9784
15	149	9194
16	149	8672
17	150	8211
18	150	7796
19	151	7423
20	152	7087
21	152	6781
22	153	6501
23	153	6242
24	154	6006
25	154	5788
26	154	5584
27	155	5397
28	156	5223
29	156	5060
30	156	4906
31	157	4762
32	157	4627
33	158	4499
34	158	4379
35	159	4266
36	159	4159
37	160	4057
38	160	3960
39	161	3871
40	161	3788
41	162	3705
42	162	3626
43	163	3551
44	163	3478
45	164	3409
46	164	3342
47	165	3279
48	165	3218
49	166	3159
50	166	3103
51	167	3049
52	167	2997
53	168	2947
54	168	2899
55	169	2852
56	169	2807
57	170	2763
58	170	2721
59	171	2680
60	171	2641
61	172	2602
62	172	2566
63	173	2530
64	173	2496
65	174	2463
66	174	2430
67	174	2398
68	175	2367
69	175	2337
70	176	2309
71	177	2282
72	177	2254
73	178	2228
74	178	2202
75	179	2177
76	179	2153
77	180	2129
78	180	2106
79	181	2083
80	181	2061
81	182	2040
82	182	2017
83	183	1997
84	183	1977
85	184	1957
86	184	1939
87	185	1920
88	185	1901
89	186	1883
90	186	1865
91	187	1847
92	187	1830
93	188	1813
94	188	1797
95	189	1782
96	189	1767
97	190	1752
98	190	1737
99	191	1723
100	192	1709
101	192	1695
102	193	1682
103	193	1669
104	194	1656
105	194	1643
106	195	1630
107	195	1618
108	196	1606
109	197	1594
110	197	1582
111	198	1570
112	198	1559
113	199	1548
114	199	1537
115	200	1526
116	200	1515
117	201	1504
118	201	1494
119	202	1484
120	202	1474
121	203	1463
122	203	1453
123	204	1444
124	205	1435
125	205	1427
126	206	1417
127	206	1408
128	207	1400
129	208	1392
130	208	1383
131	209	1375
132	209	1367
133	210	1358
134	210	1351
135	211	1343
136	211	1335
137	212	1327
138	213	1319
139	213	1312
140	214	1304
141	214	1296
142	215	1289
143	215	1282
144	216	1275
145	216	1268
146	217	1261
147	217	1254
148	218	1247
149	219	1241
150	219	1235
151	220	1229
152	220	1223
153	221	1217
154	222	1214
155	223	1208
156	223	1202
157	224	1196
158	225	1190
159	225	1184
160	225	1177
161	226	1171
162	227	1165
163	227	1159
164	228	1154
165	228	1148
166	229	1142
167	229	1137
168	230	1131
169	230	1126
170	231	1121
171	231	1115
172	232	1110
173	232	1105
174	233	1099
175	233	1094
176	234	1089
177	234	1084
178	235	1080
179	236	1075
180	236	1071
181	237	1066
182	237	1061
183	238	1056
184	238	1051
185	239	1046
186	239	1041
187	240	1037
188	240	1032
189	241	1028
190	241	1023
191	242	1019
192	242	1014
193	243	1010
194	243	1006
195	244	1001
196	244	997
197	245	993
198	245	988
199	246	984
200	246	980
201	247	976
202	247	972
203	248	967
204	248	964
205	249	959
206	249	955
207	249	951
208	250	947
209	250	943
210	251	939
211	251	935
212	252	932
213	252	928
214	253	925
215	253	921
216	254	918
217	254	914
218	255	911
219	256	907
220	256	904
221	256	900
222	257	897
223	257	893
224	258	890
225	258	886
226	259	883
227	259	879
228	260	876
229	260	873
230	261	869
231	261	866
232	262	863
233	262	860
234	263	856
235	263	853
236	264	850
237	264	847
238	265	843
239	265	840
240	266	837
241	266	834
242	266	831
243	267	829
244	268	826
245	268	823
246	269	820
247	269	817
248	270	815
249	270	812
250	271	809
251	271	806
252	272	803
253	272	801
254	273	798
255	273	795
256	274	793
257	274	790
258	275	787
259	275	785
260	276	782
261	277	780
262	277	777
263	278	775
264	278	772
265	279	770
266	279	768
267	280	765
268	280	763
269	281	760
270	281	758
271	282	756
272	283	754
273	283	751
274	284	749
275	284	747
276	285	745
277	285	742
278	286	740
279	287	738
280	287	735
281	288	733
282	288	731
283	289	728
284	289	726
285	290	724
286	290	721
287	291	719
288	291	717
289	291	714
290	292	712
291	292	710
292	293	708
293	293	705
294	294	703
295	294	701
296	295	700
297	296	698
298	296	696
299	297	694
300	298	692
301	298	690
302	299	688
303	299	686
304	300	683
305	300	681
306	301	679
307	301	677
308	302	675
309	302	673
310	303	671
311	303	669
312	304	667
313	304	665
314	305	663
315	305	661
316	306	659
317	306	657
318	307	655
319	307	653
320	308	651
321	308	649
322	309	647
323	309	646
324	310	644
325	310	642
326	311	640
327	311	638
328	312	636
329	312	635
330	313	633
331	313	631
332	314	629
333	315	628
334	315	626
335	316	624
336	316	622
337	317	621
338	317	619
339	318	617
340	318	615
341	319	613
342	319	612
343	320	610
344	320	608
345	321	607
346	321	605
347	322	603
348	322	601
349	323	600
350	323	598
351	324	596
352	324	595
353	325	593
354	325	591
355	326	589
356	326	588
357	327	586
358	327	585
359	328	583
360	328	582
361	329	580
362	330	579
363	330	577
364	331	576
365	331	574
366	332	573
367	332	571
368	333	570
369	333	568
370	334	566
371	335	565
372	335	564
373	336	562
374	336	560
375	337	559
376	337	557
377	338	556
378	338	554
379	339	553
380	339	551
381	340	550
382	340	548
383	341	547
384	341	545
385	342	544
386	342	542
387	343	541
388	344	540
389	344	539
390	345	537
391	345	536
392	346	535
393	347	534
394	347	532
395	348	531
396	348	529
397	349	528
398	349	526
399	350	525
400	350	523
401	351	522
402	351	520
403	352	519
404	352	517
405	352	516
406	353	514
407	353	513
408	354	512
409	354	510
410	355	509
411	355	508
412	356	506
413	356	505
414	357	503
415	358	502
416	358	501
417	359	500
418	359	498
419	360	497
420	360	496
421	361	494
422	361	493
423	362	492
424	362	490
425	363	489
426	363	488
427	364	486
428	364	485
429	365	484
430	365	482
431	366	481
432	366	479
433	367	478
434	367	477
435	367	475
436	368	474
437	368	473
438	369	472
439	369	470
440	370	469
441	371	468
442	371	467
443	372	465
444	372	464
445	373	463
446	373	462
447	374	461
448	374	460
449	375	458
450	376	457
451	376	456
452	377	455
453	377	454
454	378	452
455	378	451
456	379	450
457	379	449
458	380	448
459	380	446
460	381	445
461	381	444
462	382	443
463	382	442
464	383	441
465	383	439
466	384	438
467	384	437
468	385	436
469	385	435
470	386	434
471	386	432
472	387	431
473	387	430
474	388	429
475	388	428
476	389	427
477	390	425
478	390	424
479	391	423
480	391	422
481	392	421
482	392	420
483	393	419
484	393	418
485	394	417
486	395	416
487	395	415
488	396	413
489	396	412
490	397	411
491	397	410
492	398	409
493	398	408
494	399	407
495	399	406
496	400	405
497	400	404
498	401	403
499	401	401
500	402	400
501	402	399
502	403	398
503	404	397
504	404	396
505	405	395
506	405	394
507	406	393
508	406	392
509	407	391
510	407	390
511	408	389
512	408	388
513	409	387
514	409	386
515	410	384
516	410	383
517	411	382
518	411	381
519	412	380
520	412	379
521	413	378
522	413	377
523	414	376
524	414	375
525	415	374
526	415	373
527	416	372
528	416	371
529	417	370
530	417	369
531	418	367
532	418	366
533	419	366
534	420	365
535	420	364
536	421	363
537	421	362
538	422	361
539	422	360
540	423	358
541	423	357
542	424	356
543	424	355
544	425	354
545	425	353
546	426	353
547	426	351
548	427	351
549	427	350
550	428	348
551	428	347
552	429	346
553	429	346
554	430	345
555	430	344
556	431	343
557	431	342
558	432	341
559	432	340
560	433	338
561	433	338
562	434	337
563	434	336
564	435	335
565	435	334
566	436	333
567	436	332
568	437	331
569	437	330
570	438	329
571	438	328
572	439	327
573	440	326
574	440	325
575	440	324
576	441	323
577	441	322
578	442	321
579	442	320
